Move,Command,Startup,Active,Recovery,Total,Total,HIT ADV,CH ADV,BLK ADV,HIT DMG,HIT STUN,CH DMG,CH STUN,BLK DMG,NOTE,HIT TYPE,HIT KDR,HIT KDBR,HIT KD,CH TYPE,CH ADV,CH KDR,CH KDBR,CH KD,EX-,EX+,VR-,VT-,HIT EX1,HIT VR1,HIT EX2,HIT VR2,CH EX1,CH VR1,CH EX2,CH VR2,BLK EX1,BLK VR1,BLK EX2,BLK VR2
Dash,,1,18,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dash Back,,1,24,,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jump,,8,8 (4+38),42,1,4,46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jump Forward,,9,9 (3+38),41,1,4,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jump Back,,7,7 (4+38),42,1,4,46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stand LP,,4,2,7,12,12,4,6,2,30,70,36,84,0,,HIT,,,,CH,6,,,,,,,,20,,12,40,24,,15,48,10,,6,
stand MP,,5,2,13,19,19,8,10,-2,60,100,72,120,10,,HIT,,,,CH,10,,,,,,,,30,,18,80,36,,22,97,15,,9,13
stand HP,,7,3,18,27,27,2,4,-6,90,150,108,180,15,,HIT,,,,CH,4,,,,,,,,50,,30,121,60,,36,145,25,,15,20
stand LK,,4,3,8,14,14,2,4,1,30,70,36,84,0,,HIT,,,,CH,4,,,,,,,,20,,12,40,24,,15,48,10,,6,
stand MK,,8,4,15,26,26,2,4,-3,60,100,72,120,10,,HIT,,,,CH,4,,,,,,,,30,,18,80,36,,22,97,15,,9,13
f+MK,,8,4,15,26,26,2,4,-3,60,100,72,120,10,,HIT,,,,CH,4,,,,,,,,30,,18,80,36,,22,97,15,,9,13
stand HK,,13,2,20,34,34,2,KD,-4,90,150,108,180,15,,HIT,,,,CH,KD,46,51,105,,,,,50,,30,121,60,150,36,145,25,,15,20
stand HK Hold 20,,32,2,20,53,53,2,KD,-4,90,150,108,180,15,,HIT,,,,CH,KD,46,51,105,,,,,50,,30,121,60,150,36,145,25,,15,20
stand HK Hold 21,,35,1,23,58,58,4,26,2,100,150,120,180,17,,HIT,,,,CH,26,,,,,,,,50,,30,134,60,150,36,161,25,,15,22
stand HK Reversal,,12,2,20,33,33,2,KD,-4,90,150,108,180,15,FRAME 1 AUTO CANCEL,HIT,,,,CH,KD,46,51,105,,,,,50,,30,121,60,150,36,145,25,,15,20
crouch LP,,3,2,6,10,10,3,5,1,20,70,24,84,0,,HIT,,,,CH,5,,,,,,,,20,,12,26,24,,15,32,10,,6,
crouch MP,,7,4,16,26,26,1,3,-1,60,100,72,120,10,,HIT,,,,CH,3,,,,,,,,30,,18,80,36,,22,97,15,,9,13
crouch HP,,11,6,17,33,33,-2,0,-6,80,150,96,180,13,CROUCH 1F NO MOVE,HIT,,,,CH,0,,,,,,,,50,,30,107,60,,36,129,25,,15,17
crouch LK,,4,2,8,13,13,3,5,1,20,70,24,84,0,,HIT,,,,CH,5,,,,,,,,20,,12,26,24,,15,32,10,,6,
crouch MK,,7,3,15,24,24,3,5,-2,60,100,72,120,10,,HIT,,,,CH,5,,,,,,,,30,,18,80,36,,22,97,15,,9,13
crouch HK,,12,8,21,40,40,KD,KD,-12,90,150,108,180,15,,HIT,19,24,68,CH,KD,68,68,68,,,,,50,,30,121,60,100,36,145,25,,15,20
stand LK MP,,4,3,8,14,14,1,1,-5,75,160,81,174,8,,HIT,,,,CH,1,,,,,,,,47,,30,101,51,,33,109,25,,15,10
f+MP,,8,2,20,29,29,0,2,-8,50,100,60,120,8,,HIT,,,,CH,2,,,,,,,,30,,18,67,36,,22,80,15,,9,10
b+MP,,8,2,20,29,,0,2,-8,50,100,60,120,8,,HIT,,,,CH,2,,,,,,,,30,,18,67,36,,22,80,15,,9,10
f+MP f+MP,,8,1<11>(1)1,51,61,,KD,KD,-40,50,100,60,120,8,,HIT,58,58,88,CH,KD,58,58,88,,,,,30,,18,67,36,,22,80,15,,9,10
f+MP f+MP,,8,1<11>(1)1,51,61,,KD,KD,-40,77,100,87,120,8,,HIT,71,71,111,CH,KD,71,71,111,,,,,30,,18,103,36,,22,117,15,,9,10
b+MP b+MP,,60,70,,KD,KD,-28,50,100,60,120,8,,HIT,58,58,88,CH,KD,58,58,88,,,,,30,,18,67,36,,22,80,15,,9,10
b+MP b+MP,,8,1<11>(1)1,60,70,,KD,KD,-28,77,100,87,120,8,,HIT,70,70,110,CH,KD,70,70,110,,,,,30,,18,103,36,,22,117,15,,9,10
f+HP,,6HP,f+HP,10,3,12,24,24,56,66,3,80,150,96,180,13,,HIT,,,,CH,66,,,,,,,,50,,30,107,60,150,36,129,25,,15,17
jump LP,,8,5(31),4,47,47,6,8,3,40,70,48,84,0,,HIT,,,,CH,8,,,,,,,,20,,12,53,24,,15,64,10,,6,
jump MP,,38,5<12>,4,46,,12,14,9,60,100,72,120,10,,HIT,,,,CH,14,,,,,,,,30,,18,80,36,,22,97,15,,9,13
jump HP,,32,5<15>(6),4,46,,9,11,6,90,150,108,180,15,,HIT,,,,CH,11,,,,,,,,50,,30,121,60,,36,145,25,,15,20
jump LK,,31,8<8>(4),4,46,,5,7,2,40,70,48,84,0,,HIT,,,,CH,7,,,,,,,,20,,12,53,24,,15,64,10,,6,
jump MK,,37,5<12>(1),4,46,,11,13,8,70,100,84,120,12,,HIT,,,,CH,13,,,,,,,,30,,18,94,36,,22,113,15,,9,16
jump HK,,33,7<15>(3),4,46,,12,14,9,90,150,108,180,15,,HIT,,,,CH,14,,,,,,,,50,,30,121,60,,36,145,25,,15,20
jump MP HP,,12,1<12>(9)1<15>(21),4,47,,KD,KD,KD,114,190,126,210,114,,HIT,16,21,75,CH,KD,16,21,75,,,,,75,,48,153,81,,52,170,75,,48,153
jump 2MP,,45,6,24,74,74,KD,KD,KD,70,100,84,120,12,,HIT,28,33,87,CH,KD,28,33,87,,,,,50,,30,94,60,,36,113,25,,15,16
Throw,LP+LK,5,2,18,24,24,KD,KD,KD,131,200,131,200,131,RANGE 0.8500,HIT,3,3,42,CH,KD,3,3,42,,,,,100,,60,176,100,,60,176,100,,60,176
Throw Back,b+LP+LK,5,2,18,24,24,KD,KD,KD,141,200,141,200,141,RANGE 0.8500,HIT,12,12,71,CH,KD,12,12,71,,,,,100,,60,190,100,,60,190,100,,60,190
V-Reversal,6KKK,17,2,24,42,42,KD,KD,KD,60,0,64,0,0,,HIT,17,17,66,CH,KD,17,17,66,,,300,,,,,80,,,,86,,,,
V-Skill,,75,1,15,90,90,11,13,4,40,70,48,84,7,,HIT,,,,CH,13,,,,,,,,,100,10,53,,110,12,64,,75,5,9
V-Skill Hold,,1095,,,1095,1095,KD,KD,-7,80,150,96,180,20,,HIT,23,28,72,CH,KD,23,28,72,,,,,60,,24,107,68,,29,129,40,,12,26
V-Trigger Above,,7,,,7,7,KD,KD,-7,80,150,96,180,20,,HIT,23,28,72,CH,KD,23,28,72,,,600,,60,,24,107,68,,29,129,40,,12,26
V-Trigger Above Hold,11,,,11,11,KD,KD,-7,80,150,96,180,20,,HIT,23,28,72,CH,KD,23,28,72,,,600,,60,,24,107,68,,29,129,40,,12,26
V-Trigger Behind,,7,,,7,,KD,KD,-7,80,150,96,180,20,,HIT,23,28,72,CH,KD,23,28,72,,,600,,60,,24,107,68,,29,129,40,,12,26
V-Trigger Behind Hold,,11,,,11,,KD,KD,-7,80,150,96,180,20,,HIT,23,28,72,CH,KD,23,28,72,,,600,,60,,24,107,68,,29,129,40,,12,26
V-Trigger Front,,7,,,7,,KD,KD,-7,80,150,96,180,20,,HIT,23,28,72,CH,KD,23,28,72,,,600,,60,,24,107,68,,29,129,40,,12,26
V-Trigger Front Hold,,11,,,11,,KD,KD,-7,80,150,96,180,20,,HIT,23,28,72,CH,KD,23,28,72,,,600,,60,,24,107,68,,29,129,40,,12,26
stand LP VTC,,4,1<8>,11,15,,1,3,-1,130,170,156,204,25,,HIT,,,,CH,6,,,,,,600,,20,,32,175,24,,39,210,10,,16,33
stand MP VTC,,5,1<12>,11,16,,11,13,1,160,200,192,240,35,,HIT,,,,CH,13,,,,,,600,,30,,38,215,36,,46,259,15,,19,47
stand HP VTC,,7,1<15>,11,18,,11,13,6,190,250,228,300,40,,HIT,,,,CH,13,,,,,,600,,50,,50,256,60,,60,307,25,,25,53
stand LK VTC,,4,1<8>,11,15,,1,3,0,130,170,156,204,25,,HIT,,,,CH,3,,,,,,600,,20,,32,175,24,,39,210,10,,16,33
stand MK VTC,,8,1<12>,21,29,,-1,1,-6,160,200,192,240,35,,HIT,,,,CH,1,,,,,,600,,30,,38,215,36,,46,259,15,,19,47
f+MK VTC,,8,1<12>,21,29,,-1,1,-6,160,200,192,240,35,,HIT,,,,CH,1,,,,,,600,,30,,38,215,36,,46,259,15,,19,47
stand HK VTC,,13,1<15>,25,38,,-2,KD,-8,190,250,108,180,40,,HIT,,,,CH,KD,42,47,123,,,600,,50,,50,256,60,,36,145,25,,25,53
stand HK  Hold 20VTC,,32,1<15>,25,57,,-2,KD,-8,190,250,108,180,40,,HIT,,,,CH,KD,42,47,123,,,600,,50,,50,256,60,,36,145,25,,25,53
stand HK Hold 21 VTC,,35,1<15>,27,62,,-3,51,-5,200,250,200,260,42,,HIT,,,,CH,51,,,,,,600,,50,,50,269,60,,56,269,25,,25,56
stand HK Hold 21 b+VTC,,35,1<15>,27,62,,-3,19,-5,200,250,240,300,42,,HIT,,,,CH,19,,,,,,600,,50,,50,269,60,,60,323,25,,25,56
crouch LP VTC,,3,1<8>,11,14,,-1,1,-3,120,170,144,204,25,,HIT,,,,CH,1,,,,,,600,,20,,32,161,24,,39,194,10,,16,33
crouch MP VTC,,7,1<12>,11,18,,9,11,7,160,200,192,240,35,,HIT,,,,CH,11,,,,,,600,,30,,38,215,36,,46,259,15,,19,47
crouch HP VTC,,11,1<15>,11,22,,9,11,5,180,250,216,300,38,CROUCH 1F NO MOVE,HIT,,,,CH,11,,,,,,600,,50,,50,242,60,,60,291,25,,25,51
crouch LK VTC,,4,1<8>,11,15,,1,3,-1,120,170,144,204,25,,HIT,,,,CH,3,,,,,,600,,20,,32,161,24,,39,194,10,,16,33
crouch MK VTC,,7,1<12>,11,18,,9,11,4,160,200,192,240,35,,HIT,,,,CH,11,,,,,,600,,30,,38,215,36,,46,259,15,,19,47
crouch HK VTC,,12,1<15>,11,23,,KD,KD,KD,90,150,188,260,40,,HIT,36,41,123,CH,KD,64,69,123,,,600,,50,,30,121,60,,56,253,25,,25,53
crouch HK VTC,,12,1<15>,11,23,,KD,KD,KD,90,150,108,180,40,,HIT,36,41,85,CH,KD,85,85,85,,,600,,50,,30,121,60,,36,145,25,,25,53
stand LK MP VTC,,4,1<8>(10)1<12>,11,26,,5,5,-1,175,260,201,294,33,,HIT,,,,CH,5,,,,,,600,,47,,50,236,51,,57,271,25,,25,44
f+HP b+VTC,,10,1<15>,11,21,,59,69,6,80,150,96,180,38,,HIT,,,,CH,69,,,,,,600,,50,,30,107,60,,36,129,25,,25,51
Shooting Peach LP,qcf+lp,10,6,25,40,40,KD,KD,-7,80,150,96,180,20,,HIT,23,28,72,CH,KD,23,28,72,,20,,,60,,24,107,68,,29,129,40,,12,26
Shooting Peach MP,qcf+mp,13,8,25,45,45,KD,KD,-10,90,150,108,180,23,,HIT,23,28,82,CH,KD,23,28,82,,20,,,60,,24,121,68,,29,145,40,,12,31
Shooting Peach HP,qcf+hp,20,13,17,49,49,KD,KD,-12,100,150,120,180,25,,HIT,23,28,82,CH,KD,23,28,82,,20,,,60,,24,134,68,,29,161,40,,12,33
Shooting Peach PP,qcf+pp,5,5(13)5,18,45,45,KD,KD,-10,130,200,138,204,20,,HIT,19,24,78,CH,KD,19,24,78,300,,,,,,24,175,,,25,186,,,6,26
Wingless Airplane LK,qcf+lk,5,5,43,52,52,KD,KD,KD,131,200,131,200,131,,HIT,20,20,69,CH,KD,20,20,69,,,,,60,,36,176,60,,36,176,60,,36,176
Wingless Airplane MK,qcf+mk,7,8,40,54,54,KD,KD,KD,131,200,131,200,131,,HIT,20,20,69,CH,KD,20,20,69,,,,,60,,36,176,60,,36,176,60,,36,176
Wingless Airplane HK,qcf+hk,10,11,37,57,57,KD,KD,KD,131,200,131,200,131,,HIT,20,20,69,CH,KD,20,20,69,,,,,60,,36,176,60,,36,176,60,,36,176
